sample scatter,sample trans,can scatter,can trans,direct,background
Niels_sample1_Q1,Niels_sample_transmission_Q1,Niels_sample_empty_cuvette_Q1,,Niels_no_cuvette_transmission_Q1,Background_Q1
Niels_sample1_Q2,Niels_sample_transmission_Q2,Niels_sample_empty_cuvette_Q2,,Niels_no_cuvette_transmission_Q2,Background_Q2
Niels_sample1_Q3,Niels_sample_transmission_Q3,Niels_sample_empty_cuvette_Q3,,Niels_no_cuvette_transmission_Q3,Background_Q3
Niels_sample1_Q4,Niels_sample_transmission_Q4,Niels_sample_empty_cuvette_Q4,,Niels_no_cuvette_transmission_Q4,Background_Q4
scattering_glassyC_Q1,transmission_glassyC_boronglass_rubber_extra_attentuator_d10_noBeamstop_Q1,,,transmission_air_boronglass_rubber_extra_attentuator_d10_noBeamstop_Q1,Background_Q1
scattering_glassyC_Q2,transmission_glassyC_boronglass_rubber_noBeamstop_Q2,,,transmission_air_boronglass_rubber_noBeamstop_Q2,Background_Q2
scattering_glassyC_Q3,transmission_glassyC_boronglass_rubber_noBeamstop_Q3,,,transmission_air_boronglass_rubber_noBeamstop_Q3,Background_Q3
scattering_glassyC_Q4,transmission_glassyC_boronglass_rubber_noBeamstop_Q4,,,transmission_air_boronglass_rubber_noBeamstop_Q4,Background_Q4
